Slide,Score,Density,Advice
1,5.0,0.5491597056388855,Optimal Design
2,5.0,0.5745206475257874,Optimal Design
3,3.5,0.5654629468917847,High Text Density (Cognitive Overload).
4,3.5,0.5654006004333496,High Text Density (Cognitive Overload).
5,3.5,0.5371137261390686,High Text Density (Cognitive Overload).
6,3.5,0.5491935014724731,High Text Density (Cognitive Overload).
7,3.5,0.5485650897026062,High Text Density (Cognitive Overload).
8,2.5,0.5406855940818787,High Text Density (Cognitive Overload). | Signaling Deficiency: Key terms not highlighted.
9,3.5,0.5400568246841431,High Text Density (Cognitive Overload).
10,4.0,0.5412814617156982,Signaling Deficiency: Key terms not highlighted.
11,5.0,0.5721970796585083,Optimal Design
12,5.0,0.5716867446899414,Optimal Design
13,4.5,0.0,Insufficient context for learners.
14,3.5,0.5515338778495789,High Text Density (Cognitive Overload).
15,4.0,0.5580508708953857,Signaling Deficiency: Key terms not highlighted.
16,5.0,0.5580229759216309,Optimal Design
17,5.0,0.5468838214874268,Optimal Design
18,3.5,0.5170753598213196,High Text Density (Cognitive Overload).
19,4.0,0.5658120512962341,Signaling Deficiency: Key terms not highlighted.
20,5.0,0.5487436652183533,Optimal Design
21,5.0,0.5451353192329407,Optimal Design
22,5.0,0.5494859218597412,Optimal Design
23,3.5,0.5563322305679321,High Text Density (Cognitive Overload).
24,3.5,0.5085716247558594,High Text Density (Cognitive Overload).
25,5.0,0.5222798585891724,Optimal Design
26,5.0,0.5512116551399231,Optimal Design
27,5.0,0.5373584032058716,Optimal Design
28,4.0,0.5559974908828735,Signaling Deficiency: Key terms not highlighted.
29,5.0,0.5601232647895813,Optimal Design
30,5.0,0.5573399066925049,Optimal Design
31,5.0,0.5553820133209229,Optimal Design
32,4.0,0.5408893823623657,Signaling Deficiency: Key terms not highlighted.
33,5.0,0.5419527292251587,Optimal Design
34,5.0,0.5367023944854736,Optimal Design
35,5.0,0.5392211675643921,Optimal Design
36,5.0,0.5248076319694519,Optimal Design
37,5.0,0.5499075055122375,Optimal Design
38,3.5,0.5378382205963135,High Text Density (Cognitive Overload).
39,4.0,0.5244795083999634,Signaling Deficiency: Key terms not highlighted.
40,4.0,0.5345304012298584,Signaling Deficiency: Key terms not highlighted.
41,2.5,0.5364041924476624,High Text Density (Cognitive Overload). | Signaling Deficiency: Key terms not highlighted.
42,5.0,0.5305068492889404,Optimal Design
43,5.0,0.49473756551742554,Optimal Design
44,3.5,0.5489553809165955,High Text Density (Cognitive Overload).
45,5.0,0.5473645329475403,Optimal Design
46,4.0,0.5439348816871643,Signaling Deficiency: Key terms not highlighted.
47,5.0,0.5586382150650024,Optimal Design
48,4.0,0.5343443751335144,Signaling Deficiency: Key terms not highlighted.
