Slide,Score,Density,Advice
1,5.0,0.580260694026947,Optimal Design
2,5.0,0.5425713062286377,Optimal Design
3,5.0,0.5198705792427063,Optimal Design
4,5.0,0.5377252697944641,Optimal Design
5,5.0,0.5344651937484741,Optimal Design
6,5.0,0.5283699035644531,Optimal Design
7,2.5,0.5653234124183655,High Text Density (Cognitive Overload). | Signaling Deficiency: Key terms not highlighted.
8,5.0,0.5545379519462585,Optimal Design
9,4.0,0.5631786584854126,Signaling Deficiency: Key terms not highlighted.
10,4.0,0.5419565439224243,Signaling Deficiency: Key terms not highlighted.
11,5.0,0.5480149388313293,Optimal Design
12,4.0,0.5365475416183472,Signaling Deficiency: Key terms not highlighted.
13,5.0,0.5184314250946045,Optimal Design
14,5.0,0.5246224999427795,Optimal Design
15,5.0,0.5165424942970276,Optimal Design
16,5.0,0.5382156372070312,Optimal Design
17,5.0,0.5466174483299255,Optimal Design
18,5.0,0.5560750365257263,Optimal Design
19,5.0,0.5416522026062012,Optimal Design
20,5.0,0.5396426320075989,Optimal Design
21,4.0,0.5411340594291687,Signaling Deficiency: Key terms not highlighted.
22,5.0,0.5711711645126343,Optimal Design
23,4.0,0.5584743022918701,Signaling Deficiency: Key terms not highlighted.
24,5.0,0.541771411895752,Optimal Design
25,2.5,0.5519780516624451,High Text Density (Cognitive Overload). | Signaling Deficiency: Key terms not highlighted.
26,4.0,0.5397120118141174,Signaling Deficiency: Key terms not highlighted.
27,5.0,0.5109481811523438,Optimal Design
28,4.0,0.5471693873405457,Signaling Deficiency: Key terms not highlighted.
29,5.0,0.5452766418457031,Optimal Design
30,5.0,0.5551220178604126,Optimal Design
31,5.0,0.5468153953552246,Optimal Design
32,4.0,0.5519418716430664,Signaling Deficiency: Key terms not highlighted.
33,4.0,0.540805995464325,Signaling Deficiency: Key terms not highlighted.
34,4.0,0.5551891922950745,Signaling Deficiency: Key terms not highlighted.
35,4.0,0.5465708374977112,Signaling Deficiency: Key terms not highlighted.
36,5.0,0.536722719669342,Optimal Design
37,5.0,0.5400589108467102,Optimal Design
38,4.0,0.5563452243804932,Signaling Deficiency: Key terms not highlighted.
39,5.0,0.5332164764404297,Optimal Design
40,4.0,0.5437893867492676,Signaling Deficiency: Key terms not highlighted.
41,5.0,0.5366871953010559,Optimal Design
42,4.0,0.5583056807518005,Signaling Deficiency: Key terms not highlighted.
43,4.0,0.5465694069862366,Signaling Deficiency: Key terms not highlighted.
44,4.0,0.5354912877082825,Signaling Deficiency: Key terms not highlighted.
45,4.0,0.5261688828468323,Signaling Deficiency: Key terms not highlighted.
46,4.0,0.5432516932487488,Signaling Deficiency: Key terms not highlighted.
47,5.0,0.5272151231765747,Optimal Design
48,5.0,0.5205300450325012,Optimal Design
49,4.0,0.5619394779205322,Signaling Deficiency: Key terms not highlighted.
50,5.0,0.5223897099494934,Optimal Design
51,5.0,0.5291889309883118,Optimal Design
52,5.0,0.5328877568244934,Optimal Design
53,4.5,0.0,Insufficient context for learners.
